type,note(s),duration_type,duration_quarterLength,offset
note,G5,16th,0.25,446/3
note,G5,16th,0.25,149.0
note,F#5,16th,0.25,149.25
note,B5,16th,0.25,149.5
note,F5,16th,0.25,149.75
note,E5,quarter,1.5,150.0
chord,"C#5,E5",16th,0.25,151.5
chord,"C#5,E5",16th,0.25,151.75
note,E5,16th,0.25,152.0
note,C5,16th,0.25,152.25
note,F#5,16th,0.25,152.5
note,C#6,16th,0.25,152.75
note,F#6,16th,0.25,153.0
chord,"G#6,G6",16th,0.25,153.25
chord,"G6,F#6",16th,0.25,153.5
chord,"F#6,F6",16th,0.25,153.75
chord,"F6,E6",16th,0.25,154.0
chord,"E6,E6",16th,0.25,154.25
chord,"C#6,E6",16th,0.25,154.5
chord,"C#6,E6",16th,0.25,154.75
chord,"G#6,B6",16th,0.25,155.0
chord,"F#7,E7",16th,0.25,155.25
chord,"G#6,F6",16th,0.25,155.5
chord,"G#5,F5",16th,0.25,155.75
note,B4,eighth,0.75,156.0
note,A4,16th,0.25,156.75
note,B4,16th,0.25,157.0
note,C#5,16th,0.25,157.25
note,B4,quarter,1.0,157.5
note,B5,quarter,1.0,158.5
chord,"G#5,B5",eighth,0.5,159.5
chord,"E5,F#5",eighth,0.5,160.0
chord,"E5,F#5",16th,0.25,160.5
chord,"F5,G#5",16th,0.25,160.75
chord,"F5,G#5,F#5,B5",16th,0.25,161.0
chord,"E5,F#5",16th,0.25,161.25
chord,"F#5,B5",16th,0.25,161.5
chord,"D5,F5",16th,0.25,161.75
chord,"F5,G#5",eighth,0.5,162.0
chord,"E5,F#5",16th,0.25,162.5
chord,"F#5,E6",16th,0.25,162.75
chord,"F#5,E6",16th,0.25,163.0
chord,"F5,C#6",16th,0.25,163.25
chord,"D5,B5",16th,0.25,163.5
chord,"B4,B5",16th,0.25,163.75
chord,"C5,B5",16th,0.25,164.0
chord,"C#5,B5",16th,0.25,164.25
chord,"E5,B5",16th,0.25,164.5
chord,"F5,B5",16th,0.25,164.75
chord,"F#5,B5",eighth,0.5,165.0
chord,"G#5,B5",eighth,0.75,165.5
chord,"E5,F#5",16th,0.25,166.25
chord,"E5,F#5",16th,0.25,166.5
chord,"F5,G#5",16th,0.25,166.75
chord,"F5,G#5,F#5,B5",16th,0.25,167.0
chord,"E5,F#5",16th,0.25,167.25
chord,"F#5,B5",16th,0.25,167.5
chord,"D5,F5",16th,0.25,167.75
chord,"F5,G#5",eighth,0.5,168.0
chord,"E5,F#5",eighth,0.5,168.5
chord,"B5,F#6",eighth,0.75,169.0
chord,"G#5,F6",16th,0.25,169.75
chord,"F#5,E6",16th,0.25,170.0
chord,"F5,C#6",16th,0.25,170.25
chord,"C#5,B5",16th,0.25,170.5
chord,"B4,F#5",16th,0.25,170.75
chord,"G#4,F5",eighth,0.5,171.0
chord,"B4,F#5",eighth,0.5,171.5
chord,"G#4,F5",eighth,0.5,172.0
chord,"F#4,E5",eighth,0.5,172.5
chord,"F4,C#5",eighth,0.5,173.0
chord,"C#4,F4",eighth,0.5,173.5
chord,"C#4,G#4",quarter,1.5,174.0
chord,"C#4,E4,B4",quarter,1.5,175.5
chord,"E4,G#3",eighth,0.5,177.0
note,G#4,16th,0.25,177.5
note,E5,16th,0.25,177.75
note,G#5,16th,0.25,178.0
note,E6,16th,0.25,178.25
note,E7,eighth,0.5,178.5
note,C#7,16th,0.25,179.0
note,E6,16th,0.25,179.25
note,G#5,16th,0.25,179.5
note,C#5,16th,0.25,179.75
note,G#4,16th,0.25,180.0
chord,"G#3,G#4",quarter,1.5,181.5
note,C#4,quarter,1.0,183.0
note,C#6,eighth,0.5,184.5
