type,note(s),duration_type,duration_quarterLength,offset
note,E5,eighth,0.5,571.5
chord,"F4,G#4,E5",eighth,0.5,572.0
note,D5,eighth,0.5,572.5
note,D5,16th,0.25,573.0
note,F5,16th,0.25,573.5
chord,"G4,B4,F5",eighth,0.5,574.0
note,E5,eighth,0.5,574.5
note,E5,16th,0.25,575.0
note,G5,16th,0.25,575.5
chord,"G#4,C5,G5",eighth,0.5,576.0
note,F5,eighth,0.5,576.5
note,F5,16th,0.25,577.0
note,G#5,16th,0.25,577.5
chord,"B4,E5,G#5",eighth,0.5,578.0
note,G5,eighth,0.5,578.5
note,G5,16th,0.25,579.0
note,B5,16th,0.25,579.5
chord,"C5,F5,B5",eighth,0.5,580.0
note,G#5,eighth,0.5,580.5
note,G#5,16th,0.25,581.0
note,C6,16th,0.25,581.5
chord,"F5,G#5,C6",eighth,0.5,582.0
note,B5,eighth,0.5,582.5
note,B5,16th,0.25,583.0
note,D6,16th,0.25,583.5
chord,"E5,G5,C6",eighth,0.5,584.0
note,E6,eighth,0.5,584.5
note,E6,eighth,0.5,585.0
note,E6,eighth,0.5,585.5
note,C6,eighth,0.5,586.0
note,G5,eighth,0.5,586.5
note,G5,eighth,0.5,587.0
note,G5,eighth,0.5,587.5
note,E5,eighth,0.5,588.0
note,C5,eighth,0.5,588.5
note,G4,eighth,0.5,589.0
note,G4,eighth,0.5,589.5
note,E4,eighth,0.5,590.0
note,C4,eighth,0.5,590.5
note,C4,eighth,0.5,591.0
note,C4,eighth,0.5,591.5
note,B3,eighth,0.5,592.0
note,F6,eighth,0.5,592.5
note,D6,eighth,0.5,593.0
note,D6,eighth,0.5,593.5
note,B5,eighth,0.5,594.0
note,G5,eighth,0.5,594.5
note,F5,eighth,0.5,595.0
note,F5,eighth,0.5,595.5
note,D5,eighth,0.5,596.0
note,B4,eighth,0.5,596.5
note,G4,eighth,0.5,597.0
note,F4,eighth,0.5,597.5
note,D4,eighth,0.5,598.0
note,B3,eighth,0.5,598.5
chord,"G3,C4",eighth,0.5,599.0
chord,"G3,C4",eighth,0.5,599.5
chord,"A3,C4,E4,F#4",eighth,0.5,600.0
chord,"E5,E6",eighth,0.5,600.5
chord,"E5,E6",eighth,0.5,601.0
chord,"E5,E6",eighth,0.5,601.5
chord,"C5,C6",eighth,0.5,602.0
chord,"A4,A5",eighth,0.5,602.5
chord,"A4,A5",eighth,0.5,603.0
chord,"A4,A5",eighth,0.5,603.5
note,F#5,eighth,0.5,604.0
chord,"E4,E5",eighth,0.5,604.5
chord,"E4,E5",eighth,0.5,605.0
chord,"E4,E5",eighth,0.5,605.5
note,C5,eighth,0.5,606.0
chord,"A3,A4",eighth,0.5,606.5
chord,"A3,A4",eighth,0.5,607.0
chord,"A3,A4",eighth,0.5,607.5
chord,"A3,E4,F#4",quarter,1.0,608.0
chord,"G3,D4,G4",quarter,1.0,612.0
note,G4,eighth,0.5,614.5
note,G4,eighth,0.5,615.0
note,G4,eighth,0.5,615.5
note,G4,quarter,1.0,622.0
note,C5,quarter,1.0,623.0
note,B4,quarter,1.0,624.0
note,C5,quarter,1.0,625.0
note,D5,quarter,1.0,626.0
note,A4,quarter,1.0,627.0
note,A4,quarter,1.0,628.0
note,G4,quarter,1.0,629.0
note,G5,quarter,1.0,630.0
note,C6,quarter,1.0,631.0
note,B5,quarter,1.0,632.0
note,C6,quarter,1.0,633.0
note,D6,quarter,1.0,634.0
note,A5,quarter,1.0,635.0
note,A5,quarter,1.0,636.0
note,G5,quarter,1.0,637.0
note,G4,quarter,1.0,638.0
note,C5,quarter,1.0,639.0
note,B4,quarter,1.0,640.0
note,C5,quarter,1.0,641.0
note,D5,quarter,1.0,642.0
note,A4,quarter,1.0,643.0
note,A4,quarter,1.0,644.0
note,G4,quarter,1.0,645.0
note,G5,quarter,1.0,646.0
note,C6,quarter,1.0,647.0
note,B5,quarter,1.0,648.0
note,C6,quarter,1.0,649.0
note,D6,quarter,1.0,650.0
note,A5,quarter,1.0,651.0
note,A5,quarter,1.0,652.0
note,G5,quarter,1.0,653.0
note,B4,quarter,1.0,654.0
note,C5,quarter,1.0,655.0
note,C#5,quarter,1.0,656.0
note,C5,quarter,1.0,657.0
note,B4,quarter,1.0,658.0
note,C5,quarter,1.0,659.0
note,B4,quarter,1.0,660.0
note,A4,quarter,1.0,661.0
note,C5,quarter,1.0,662.0
note,D5,quarter,1.0,663.0
note,E5,quarter,1.0,664.0
note,D5,quarter,1.0,665.0
note,C5,quarter,1.0,666.0
note,D5,quarter,1.0,667.0
note,C5,quarter,1.0,668.0
note,B4,quarter,1.0,669.0
chord,"F4,F5",quarter,1.0,670.0
chord,"G4,G5",quarter,1.0,671.0
chord,"G#4,G#5",quarter,1.0,672.0
chord,"G4,G5",quarter,1.0,673.0
chord,"F4,F5",quarter,1.0,674.0
chord,"G4,G5",quarter,1.0,675.0
chord,"G#4,G#5",quarter,1.0,676.0
chord,"G4,G5",quarter,1.0,677.0
chord,"F4,F5",quarter,1.0,678.0
chord,"G4,G5",quarter,1.0,679.0
chord,"G#4,G#5",quarter,1.0,680.0
chord,"G4,G5",quarter,1.0,681.0
chord,"F4,F5",quarter,1.0,682.0
chord,"G4,G5",quarter,1.0,683.0
chord,"G#4,G#5",quarter,1.0,684.0
chord,"G4,G5",quarter,1.0,685.0
chord,"F#4,F#5",quarter,1.0,686.0
chord,"G4,G5",quarter,1.0,687.0
chord,"A4,A5",quarter,1.0,688.0
chord,"G4,G5",quarter,1.0,689.0
chord,"F#4,F#5",quarter,1.0,690.0
chord,"G4,G5",quarter,1.0,691.0
chord,"A4,A5",quarter,1.0,692.0
chord,"G4,G5",quarter,1.0,693.0
chord,"F#4,F#5",quarter,1.0,694.0
chord,"G4,G5",quarter,1.0,695.0
chord,"F#4,F#5",quarter,1.0,696.0
chord,"G4,G5",quarter,1.0,697.0
chord,"F#4,F#5",quarter,1.0,698.0
chord,"G4,G5",quarter,1.0,699.0
chord,"B4,F5,G5",complex,2.5,700.0
note,A5,16th,0.25,702.5
note,G5,16th,0.25,703.0
note,F5,16th,0.25,703.5
chord,"G4,C5,F5",eighth,0.5,704.0
note,E5,eighth,0.5,704.5
note,D5,16th,0.25,705.0
note,C5,16th,0.25,705.5
chord,"F4,G4,C5",eighth,0.5,706.0
note,B4,eighth,0.5,706.5
note,A4,16th,0.25,707.0
note,B4,16th,0.25,707.5
chord,"E4,G4,D5",eighth,0.5,708.0
note,C5,eighth,0.5,708.5
note,G4,16th,0.25,709.0
note,E4,16th,0.25,709.5
chord,"D4,B4",eighth,0.5,710.0
note,A4,eighth,0.5,710.5
note,F4,16th,0.25,711.0
note,D4,16th,0.25,711.5
chord,"C4,A4",eighth,0.5,712.0
note,G4,eighth,0.5,712.5
note,E4,16th,0.25,713.0
note,C4,16th,0.25,713.5
note,F#5,eighth,0.5,714.5
note,G5,eighth,0.5,715.0
note,F#5,eighth,0.5,715.5
note,G5,eighth,0.5,716.0
note,F#5,eighth,0.5,716.5
note,G5,eighth,0.5,717.0
note,F#5,eighth,0.5,717.5
note,G5,eighth,0.5,718.0
note,A5,16th,0.25,718.5
note,G5,16th,0.25,719.0
note,F5,16th,0.25,719.5
chord,"G4,C5,F5",eighth,0.5,720.0
note,E5,eighth,0.5,720.5
note,D5,16th,0.25,721.0
note,C5,16th,0.25,721.5
chord,"F4,G4,C5",eighth,0.5,722.0
note,B4,eighth,0.5,722.5
note,A4,16th,0.25,723.0
note,B4,16th,0.25,723.5
chord,"E4,G4,D5",eighth,0.5,724.0
note,C5,eighth,0.5,724.5
note,G4,16th,0.25,725.0
note,E4,16th,0.25,725.5
chord,"D4,B4",eighth,0.5,726.0
note,A4,eighth,0.5,726.5
note,F4,16th,0.25,727.0
note,D4,16th,0.25,727.5
chord,"C4,A4",eighth,0.5,728.0
note,G4,eighth,0.5,728.5
note,E4,16th,0.25,729.0
note,C4,16th,0.25,729.5
note,B3,eighth,0.5,730.0
note,G4,eighth,0.5,730.5
note,G5,eighth,0.5,731.0
note,G5,eighth,0.5,731.5
note,C5,eighth,0.5,732.0
chord,"E5,E6",eighth,0.5,732.5
chord,"E5,E6",eighth,0.5,733.0
chord,"E5,E6",eighth,0.5,733.5
note,C6,eighth,0.5,734.0
chord,"G4,G5",eighth,0.5,734.5
chord,"G4,G5",eighth,0.5,735.0
chord,"G4,G5",eighth,0.5,735.5
note,E5,eighth,0.5,736.0
chord,"C4,C5",eighth,0.5,736.5
chord,"C4,C5",eighth,0.5,737.0
chord,"C4,C5",eighth,0.5,737.5
note,G4,eighth,0.5,738.0
chord,"D4,B4,D5",eighth,0.5,738.5
chord,"D4,B4,D5",eighth,0.5,739.0
chord,"D4,B4,D5",eighth,0.5,739.5
chord,"E4,C5,E5",eighth,0.5,740.0
chord,"E5,E6",eighth,0.5,740.5
chord,"E5,E6",eighth,0.5,741.0
chord,"E5,E6",eighth,0.5,741.5
note,C6,eighth,0.5,742.0
chord,"G4,G5",eighth,0.5,742.5
chord,"G4,G5",eighth,0.5,743.0
chord,"G4,G5",eighth,0.5,743.5
note,E5,eighth,0.5,744.0
chord,"C4,C5",eighth,0.5,744.5
chord,"C4,C5",eighth,0.5,745.0
chord,"C4,C5",eighth,0.5,745.5
note,G4,eighth,0.5,746.0
