[119, 110, 127]
[55, 63, 3]
[131, 118, 40]
[156, 106, 19]
[146, 78, 17]
[65, 106, 162]
[85, 103, 153]
[108, 102, 18]
[153, 109, 20]
[127, 105, 48]
[168, 124, 0]
[150, 116, 26]
[201, 178, 38]
[235, 208, 131]
[63, 45, 43]
[39, 46, 54]
[14, 57, 126]
[93, 106, 26]
[142, 154, 78]
[93, 99, 3]
[16, 13, 8]
[34, 47, 3]
[168, 101, 23]
[195, 104, 11]
[140, 82, 9]
[187, 92, 2]
[33, 30, 23]
[131, 144, 135]
[106, 105, 87]
[113, 76, 31]
[178, 111, 6]
[188, 146, 26]
[154, 173, 188]
[212, 111, 3]
[203, 112, 5]
[155, 147, 111]
[30, 36, 36]
[80, 92, 44]
[138, 73, 5]
[48, 51, 60]
[29, 15, 12]
[78, 104, 155]
[81, 92, 84]
[149, 136, 101]
[218, 196, 33]
[216, 198, 38]
[47, 37, 28]
[4, 12, 14]
[48, 79, 143]
[107, 119, 21]
[94, 100, 26]
[120, 127, 32]
[67, 47, 36]
[165, 184, 180]
[122, 131, 84]
[161, 180, 161]
[196, 87, 2]
[209, 131, 57]
[46, 15, 13]
[45, 44, 42]
[36, 67, 26]
[128, 100, 60]
[154, 80, 17]
[140, 91, 48]
[204, 104, 10]
[157, 151, 117]
[164, 158, 136]
[175, 136, 15]
[87, 87, 33]
[140, 82, 9]
[82, 106, 152]
[191, 107, 9]
[77, 72, 78]
[35, 40, 8]
[46, 58, 54]
[8, 14, 10]
[199, 175, 25]
[209, 188, 63]
[41, 31, 29]
[16, 22, 34]
[26, 56, 116]
[115, 132, 38]
[159, 160, 82]
[134, 139, 39]
[181, 88, 19]
[174, 123, 18]
[176, 199, 189]
[184, 203, 184]
[203, 104, 11]
[193, 114, 9]
[75, 80, 22]
[65, 60, 18]
[93, 82, 26]
[35, 20, 0]
[171, 95, 33]
[146, 60, 0]
[220, 211, 182]
[196, 208, 198]
[197, 203, 193]
[102, 133, 153]
[172, 133, 4]
[167, 126, 0]
[31, 47, 11]
[84, 108, 154]
[121, 115, 67]
[125, 112, 8]
[103, 93, 22]
[158, 109, 6]
[221, 202, 84]
[199, 194, 92]
[47, 46, 52]
[26, 30, 41]
[39, 77, 140]
[100, 115, 14]
[108, 120, 38]
[139, 142, 37]
[168, 56, 0]
[184, 76, 1]
[48, 16, 1]
[144, 94, 21]
[206, 118, 8]
[203, 115, 25]
[88, 94, 20]
[135, 139, 104]
[182, 111, 5]
[190, 113, 7]
[131, 162, 183]
[151, 103, 80]
[201, 213, 199]
[166, 181, 162]
[195, 206, 190]
[193, 204, 188]
[114, 133, 165]
[128, 138, 163]
[122, 118, 119]
[37, 50, 43]
[56, 63, 55]
[182, 88, 0]
[97, 100, 71]
[155, 89, 11]
[206, 187, 33]
[202, 198, 99]
[23, 31, 33]
[24, 22, 36]
[71, 103, 164]
[104, 123, 34]
[123, 138, 57]
[117, 126, 21]
[181, 87, 0]
[177, 75, 0]
[93, 53, 1]
[189, 105, 9]
[206, 114, 11]
[217, 136, 44]
[105, 78, 9]
[102, 93, 52]
[187, 110, 6]
[167, 122, 54]
[148, 151, 144]
[164, 124, 54]
[123, 47, 24]
[151, 169, 189]
[131, 123, 120]
[143, 141, 118]
[174, 138, 15]
[183, 90, 0]
[109, 125, 151]
[208, 98, 1]
[98, 117, 176]
[142, 149, 165]
[100, 104, 133]
[20, 34, 0]
[204, 172, 0]
[205, 196, 75]
[46, 36, 37]
[42, 49, 57]
[66, 102, 164]
[85, 118, 14]
[137, 125, 25]
[113, 135, 26]
[186, 84, 0]
[139, 89, 4]
