type,note(s),duration_type,duration_quarterLength,tie,quarterLength
chord,"B5,C#6",complex,1.25,,1.25
chord,"G#5,C6",eighth,0.5,,0.5
chord,"B5,C#6",eighth,0.5,,0.5
chord,"G#5,C6",complex,2.75,,2.75
chord,"F#5,B5",eighth,0.5,,0.5
chord,"G#5,C6",eighth,0.5,,0.5
note,B5,eighth,0.5,,0.5
note,E6,eighth,0.5,,0.5
note,B5,eighth,0.5,,0.5
note,G#5,eighth,0.5,,0.5
note,B5,eighth,0.5,,0.5
note,G#5,quarter,1.0,,1.0
chord,"E5,F#5",eighth,0.5,,0.5
chord,"F5,G#5",eighth,0.5,,0.5
chord,"E5,F#5",quarter,1.5,,1.5
note,A4,quarter,1.5,,1.5
chord,"C#5,F5",eighth,0.5,,0.5
chord,"E5,F#5",eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,B5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,quarter,1.0,,1.0
chord,"B4,C#5",eighth,0.5,,0.5
chord,"C5,E5",eighth,0.5,,0.5
chord,"B4,C#5",quarter,1.5,,1.5
chord,"G#4,C5",quarter,1.5,,1.5
chord,"F5,G#5",quarter,1.5,,1.5
chord,"C#5,F5",half,2.0,,2.0
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,whole,10/3,,10/3
chord,"C#4,C#5",eighth,0.5,,0.5
chord,"E4,E5",eighth,0.5,,0.5
chord,"G#4,F5,G#5",quarter,1.5,,1.5
chord,"F4,C#5",quarter,1.5,,1.5
note,E5,eighth,0.5,,0.5
note,F5,eighth,0.5,,0.5
note,E5,quarter,1.5,,1.5
note,C#5,quarter,1.5,,1.5
note,C#4,eighth,0.5,,0.5
note,E4,eighth,0.5,,0.5
chord,"C#4,F4,B4",quarter,1.5,,1.5
chord,"G#3,C#4,F4",quarter,1.5,,1.5
note,F#4,eighth,0.5,,0.5
note,G#4,eighth,0.5,,0.5
chord,"C#5,F#4,B4",quarter,1.5,,1.5
chord,"B4,C#4,F#4",quarter,1.5,,1.5
note,B4,eighth,0.5,,0.5
note,C5,eighth,0.5,,0.5
chord,"F5,G#4,C5",quarter,1.5,,1.5
chord,"C4,F#4,G#4",quarter,1.5,,1.5
chord,"B4,G#4",quarter,1.5,,1.5
chord,"C#5,E4",quarter,1.5,,1.5
